"Order","Index","Animal","GPS","DateTime","TimeDiff","TimeDiffMins","Date","Time","Latitude","Longitude","Altitude","Speed","Course","CourseDiff","Distance","Rate","Type","Timeout","MSVs_QCN","Weight.Criteria","SleepTime","EHPE","Satelite.ID","Satelite","DistGeo","RateFlag","CourseFlag","DistanceFlag","TotalFlags"
823,823,"9959","112",2017-12-12 15:29:47,427,7.11666666666667,2017-12-12," 15:29:47",43.326302,-117.10463,1066.910034,720,126,166,33.686741,4.73349990632318," 00(00000001)",31," C5"," 3C",0,2384,369639424,"  ---X-XX- ----X--- -X------ --------",33.6712940291649,0,1,0,1
824,824,"9959","112",2017-12-12 15:37:06,439,7.31666666666667,2017-12-12," 15:37:06",43.32626,-117.10508,1149.959961,6300,18,108,36.708945,5.01716788154897," 00(00000001)",22," B4"," 3C",0,2064,102252544,"  -----XX- ---XX--- -X------ --------",36.7957452726768,0,1,0,1
825,825,"9959","112",2017-12-12 15:45:01,475,7.91666666666667,2017-12-12," 15:45:01",43.326248,-117.105064,1151.400024,180,206,188,1.772784,0.223930610526316," 00(00000001)",38," C5"," 38",0,4592,369786880,"  ---X-XX- ----X-X- X------- --------",1.86051077247533,0,1,0,1
826,826,"9959","112",2017-12-12 15:46:55,114,1.9,2017-12-12," 15:46:55",43.326195,-117.104904,1161.400024,1728,180,26,14.255702,7.50300105263158," -1(00000004)",31," C0"," 3C",0,2240,369803264,"  ---X-XX- ----X-X- XX------ --------",14.2506980645041,0,0,0,0
827,827,"9959","112",2017-12-12 15:47:59,64,1.06666666666667,2017-12-12," 15:47:59",43.326195,-117.104904,1161.400024,0,0,180,0,0," -4(00000030)",1," 0"," 0",0,14128,0,"  -------- -------- -------- --------",0,0,1,0,1
835,835,"9959","112",2017-12-13 17:03:37,321,5.35,2017-12-13," 17:03:37",43.32233,-117.114159,1158.549927,3672,215,22,282.15689,52.7396056074766," 00(00000001)",21," B7"," 3C",0,1888,77218432,"  -----X-- X--XX-X- -X----X- X-------",282.140660496923,0,0,0,0
836,836,"9959","112",2017-12-13 17:04:51,74,1.23333333333333,2017-12-13," 17:04:51",43.321831,-117.114487,1160.109985,3060,199,16,61.579149,49.9290397297297," -1(00000004)",23," B9"," 3C",0,1760,77218432,"  -----X-- X--XX-X- -X----X- X-------",61.491950429701,0,0,0,0
913,913,"9959","112",2018-01-05 21:34:29,312,5.2,2018-01-05," 21:34:29",43.272434,-117.213516,1481.909912,0,317,317,152.516539,29.3301036538462," 00(00000001)",9," A8"," 3C",0,896,1113628965,"  -X----X- -XX----- X-X----X --X--X-X",152.812388563569,0,1,0,1
914,914,"9959","112",2018-01-05 21:39:45,316,5.26666666666667,2018-01-05," 21:39:45",43.273491,-117.214127,1484.119995,2520,359,42,127.464533,24.2021265189873," 00(00000001)",14," A8"," 3C",0,848,1113620741,"  -X----X- -XX----- X------X -----X-X",127.47610892804,0,0,0,0
915,915,"9959","112",2018-01-05 21:41:06,81,1.35,2018-01-05," 21:41:06",43.27375,-117.214066,1488.459961,2160,346,13,29.264105,21.6771148148148," -1(00000004)",19," B8"," 3C",0,736,1113620741,"  -X----X- -XX----- X------X -----X-X",29.1973819935658,0,0,0,0
1033,1033,"9959","112",2018-01-22 21:43:39,98,1.63333333333333,2018-01-22," 21:43:39",43.3312,-117.110176,1137.209961,4104,213,213,45.399744,27.7957616326531," -1(00000004)",7," C7"," 3C",0,880,39879012,"  ------X- -XX----- X------X -XX--X--",45.3909679463771,0,1,0,1
1034,1034,"9959","112",2018-01-22 21:44:24,45,0.75,2018-01-22," 21:44:24",43.3312,-117.110176,1137.209961,0,0,213,0,0," -4(00000030)",7," C6"," 0",0,1792,0,"  -------- -------- -------- --------",0,0,1,0,1
