"GPS","n.x","n.y","nDiff","meanLat.x","meanLat.y","meanLatDiff","sdLat.x","sdLat.y","sdLatDiff","meanLong.x","meanLong.y","meanLongDiff","sdLong.x","sdLong.y","sdLongDiff","meanDist.x","meanDist.y","meanDistDiff","sdDist.x","sdDist.y","sdDistDiff","meanCourse.x","meanCourse.y","meanCourseDiff","sdCourse.x","sdCourse.y","sdCourseDiff","meanRate.x","meanRate.y","meanRateDiff","sdRate.x","sdRate.y","sdRateDiff","meanElev.x","meanElev.y","meanElevDiff","sdElev.x","sdElev.y","sdElevDiff"
79,6403,6190,213,32.050994044198,32.0509618991922,3.214500578963e-05,0.00516080730434365,0.00518646964979018,-2.566234544653e-05,-109.366512186475,-109.366803217124,0.0002910306493078,0.0216454647206241,0.0215897614711695,5.5703249454607e-05,69.7208463192933,60.4102835001615,9.31056281913175,146.732144943528,95.8151139615689,50.9170309819587,175.341714821178,175.447657512116,-0.105942690938747,105.22890827983,105.090187045792,0.138721234038741,4.23790410744963,3.80749243368884,0.430411673760794,6.73362536143354,5.56722344752224,1.1664019139113,1765.047442323,1780.64555735057,-15.5981150275622,159.965710682357,173.668473785592,-13.7027631032348
80,6210,6086,124,32.0543620650564,32.0542954615511,6.6603505260332e-05,0.00471496256691008,0.00478452615603662,-6.95635891265461e-05,-109.360489328986,-109.360543755669,5.44266832349649e-05,0.0229162365361192,0.0229745887751438,-5.83522390246068e-05,64.1901661418963,57.5810221728557,6.60914396904057,123.577432375507,97.8426932549897,25.7347391205168,179.433655394525,179.450870851134,-0.0172154566087954,105.634678596935,105.825773321811,-0.191094724875768,3.7014653784219,3.43220484385556,0.269260534566344,6.37539506309289,5.64185681342176,0.733538249671122,1828.94246657141,1849.35737758791,-20.4149110164929,172.444664030411,185.362194339029,-12.9175303086185
81,6874,6702,172,32.0546808599069,32.0546083093107,7.25505962435591e-05,0.00485228435915735,0.00486365640415101,-1.1372044993665e-05,-109.361123701629,-109.361086800507,-3.690112201582e-05,0.0228091440996557,0.0227890093378224,2.01347618333653e-05,63.9223737042112,57.2172235922113,6.70515011199995,134.444338178648,98.2949403150324,36.1493978636151,174.816409659587,175.119665771412,-0.30325611182468,104.957440682281,104.991303729569,-0.0338630472886479,3.91655513529241,3.68355158334925,0.233003551943157,6.7041300350229,6.08453213814725,0.619597896875649,1823.65132266763,1853.106087735,-29.4547650673728,170.974020520157,185.959126778049,-14.9851062578913
82,6696,6614,82,32.0534427410394,32.0533926262474,5.01147920743961e-05,0.00442067561567502,0.00450948907972757,-8.88134640525456e-05,-109.364896307945,-109.365037092077,0.000140784132369731,0.0181660735700674,0.0181820015232049,-1.59279531374637e-05,62.3481223709754,56.5789693404899,5.76915303048549,129.619110443563,97.0956246340562,32.5234858095065,176.722670250896,176.885092228606,-0.162421977709954,106.260093487909,106.21826763589,0.0418258520184622,3.82470131421744,3.57346634902905,0.251234965188395,6.92918963998393,6.12286959427961,0.806320045704322,1763.6493362738,1789.37239189598,-25.7230556221759,117.515429775076,129.240673321216,-11.7252435461396
83,6408,6288,120,32.0559748533084,32.0559569823473,1.78709610381134e-05,0.00475268739549918,0.00482767230558344,-7.49849100842616e-05,-109.36656000515,-109.366726062818,0.000166057668252506,0.0201002088263824,0.0200803927786796,1.98160477028857e-05,66.7326833721999,59.6526187037214,7.08006466847853,129.078210122659,102.417692815872,26.6605173067869,177.259519350811,177.302639949109,-0.0431205982979463,103.970999290717,104.044642291939,-0.0736430012222087,4.00372971285893,3.72840374472106,0.275325968137862,7.16256244251425,6.59585510310649,0.566707339407762,1766.78641284289,1788.24491094148,-21.4584980985858,122.564467526898,144.516176314841,-21.9517087879431
84,6914,6820,94,32.053225593289,32.0531900677419,3.55255470410043e-05,0.00443288087661304,0.00445122908192134,-1.83482053082934e-05,-109.35951824689,-109.3595953261,7.70792093334194e-05,0.0211795640566607,0.0211790653776303,4.98679030350863e-07,62.5283608973737,57.7646317665689,4.76372913080482,121.894408482949,97.3178300316921,24.5765784512568,175.775817182528,175.557038123167,0.218779059361054,105.811832333635,105.740145017835,0.0716873157999203,3.9647526757304,3.7636342542027,0.201118421527704,6.95593599734589,6.27121851408661,0.684717483259284,1832.895165525,1849.79296187683,-16.8977963518371,171.899385750075,175.462283702861,-3.56289795278607
85,7515,7398,117,32.0542472094478,32.0542146009732,3.26084745339017e-05,0.00262872772501574,0.00272680479894109,-9.80770739253513e-05,-109.346312631005,-109.346499239659,0.000186608654715315,0.0149173679221755,0.0151186859201236,-0.000201317997948036,56.3723307993976,49.254640176399,7.11769062299857,134.20379517891,93.1859048840631,41.0178902948466,174.002262142382,174.088402270884,-0.0861401285021088,104.96440894038,105.079001794898,-0.114592854517795,3.67324018629408,3.37417146138046,0.299068724913616,7.27212774744608,6.34438573296217,0.927742014483908,1959.3987398252,1985.04595836713,-25.64721854193,128.589220691586,147.862375849944,-19.2731551583587
86,7438,7349,89,32.0535369444743,32.0535050401415,3.19043328076418e-05,0.00422863149863239,0.00427560312701921,-4.69716283868242e-05,-109.359644044501,-109.359717183154,7.3138652965099e-05,0.0213336613422546,0.0213233104701347,1.03508721198547e-05,55.3305658675415,48.4493514791128,6.88121438842874,135.767523485432,83.7148697026307,52.0526537828016,178.413148695886,178.161382501021,0.251766194865439,104.551690514882,104.624399236849,-0.0727087219667908,3.60126378058618,3.32472063309917,0.276543147487007,6.6991305322749,5.50760767219969,1.19152286007521,1824.54840148631,1852.98203837257,-28.4336368862582,170.36231226412,183.267680408293,-12.9053681441727
87,7614,7489,125,32.0536454542947,32.0536095462679,3.5908026859488e-05,0.00392656724478353,0.00399094901041951,-6.4381765635977e-05,-109.364854624113,-109.364970993591,0.000116369477126455,0.0176534332909008,0.017660011370434,-6.57807953314063e-06,56.8284640770584,52.7081437637869,4.12032031327156,117.526542490496,94.1809171225529,23.3456253679436,174.034278959811,174.325410602217,-0.291131642405702,106.445824358406,106.50573294627,-0.0599085878647685,3.81029682164434,3.60249834789794,0.207798473746395,6.99564117850413,6.30788700143486,0.687754177069269,1761.20023738155,1783.52223260782,-22.321995226275,105.697024727466,111.546866077748,-5.84984135028202
88,7191,7024,167,32.0541713714365,32.0541408301538,3.05412827614759e-05,0.0034492157535776,0.0035228397517242,-7.36239981466028e-05,-109.364698551106,-109.364835857346,0.000137306240688417,0.0179188462394521,0.0179270783986329,-8.23215918077658e-06,61.0441786360266,55.8742798311503,5.16989880487622,116.59082380766,89.5621009718617,27.0287228357978,173.532332081769,173.458143507973,0.0741885737962207,104.777552454244,104.882029084124,-0.104476629879173,3.96903073286052,3.714764528911,0.254266203949517,6.43871605330208,5.62849002113064,0.810226032171442,1763.60855142021,1782.40475512528,-18.7962037050775,105.611767064739,113.901814199639,-8.29004713489962
89,6344,6269,75,32.0561273017024,32.0561077785931,1.95231093158554e-05,0.00471535118318759,0.00478838048221108,-7.3029299023487e-05,-109.367881447509,-109.368054256341,0.000172808831266025,0.0203098236849072,0.0202611338636991,4.86898212081303e-05,66.1303011650175,58.01795916446,8.11234200055746,145.843292358978,97.2976415031559,48.5456508558219,176.229665825977,175.885149146594,0.344516679382934,104.488410367532,104.633832392796,-0.145422025264594,3.790684110971,3.48962163379528,0.301062477175717,6.82824903860045,5.82554817846722,1.00270086013323,1758.87666846123,1781.76136544903,-22.8846969878039,122.831176570124,140.249472891173,-17.4182963210491
90,3599,3532,67,32.0544085893304,32.0544196483579,-1.10590274999822e-05,0.00217423432415634,0.00214007416830343,3.41601558529027e-05,-109.342221463462,-109.342202023499,-1.94399626280983e-05,0.00525161295466554,0.00524836382042777,3.24913423776878e-06,54.6335121574907,48.6121120178369,6.02140013965377,132.527257193097,90.8680967607012,41.659160432396,173.226729647124,173.520385050963,-0.293655403838443,106.392297693522,106.454125101568,-0.0618274080463408,3.39210891914421,3.23770719820666,0.154401720937551,6.64119272200335,6.11993339995004,0.521259322053305,1991.15980265672,2020.33861834655,-29.1788156898274,88.3964322383459,102.644085426975,-14.2476531886287
91,6541,6439,102,32.0543543835805,32.0543227091163,3.16744641750688e-05,0.0044822475366956,0.00454943268573842,-6.71851490428232e-05,-109.360758062682,-109.360870763628,0.000112700946345967,0.0183905317199269,0.0184212524587879,-3.07207388609496e-05,57.1120688188346,53.1042310885231,4.00783773031151,101.090621946494,82.3323261396536,18.7582958068407,177.663812872649,177.45208883367,0.211724038979611,105.131400032818,105.118644022482,0.0127560103356217,3.65934872343678,3.46052035707945,0.198828366357336,5.9086607871401,5.30929265353113,0.599368133608971,1791.09499235153,1821.06118962572,-29.966197274191,111.434366554697,127.039215968142,-15.6048494134456
93,6151,6009,142,32.0539569887823,32.0539312514561,2.57373261618454e-05,0.0035333177694448,0.00355694978389561,-2.36320144508112e-05,-109.354193408064,-109.354310406058,0.00011699799384246,0.0222636762558142,0.02231211081873,-4.84345629158667e-05,61.7641943631036,51.9545013080379,9.80969305506562,151.963279749601,90.0196633771131,61.9436163724877,178.119167615022,178.287069395906,-0.167901780884193,105.741480773252,105.788304711172,-0.0468239379200384,3.42988132011055,3.11576426796181,0.314117052148744,6.38701410973426,5.37547855754072,1.01153555219354,1910.65652964461,1930.57031119987,-19.9137815552531,191.824234654609,201.931785913876,-10.1075512592667
96,8056,7870,186,32.0549336886792,32.0548994894536,3.41992256238655e-05,0.00294174455702047,0.00303453414087013,-9.27895838496577e-05,-109.356233997145,-109.356342443456,0.000108446311173793,0.0226768481466241,0.0227032226070327,-2.63744604085542e-05,54.135573737323,49.9757576480305,4.15981608929249,115.144845951123,91.5279920205866,23.6168539305368,174.816037735849,174.925667090216,-0.109629354366973,105.811864341256,105.858771441351,-0.0469071000951686,3.806454816286,3.5661222102555,0.240332606030499,7.24367267593379,6.44674399171389,0.796928684219893,1897.40430745178,1911.47128335451,-14.0669759027332,183.238822086367,195.597573092892,-12.3587510065251
97,7408,7330,78,32.0520698531317,32.0520489347885,2.09183432104965e-05,0.00540697050554382,0.00543582632873989,-2.88558231960681e-05,-109.365838638229,-109.365929469441,9.08312117218202e-05,0.0218095465055489,0.0217749393159197,3.46071896292037e-05,63.8927336250182,58.8059568766712,5.08677674834701,123.703160153803,95.597522043725,28.1056381100778,174.655372570194,174.668758526603,-0.0133859564086265,105.822979192112,105.812805502886,0.0101736892252831,4.1815469762419,3.95132552295016,0.230221453291741,7.00875542122587,6.29385895840333,0.714896462822542,1772.31824359952,1789.20750341064,-16.8892598111204,157.952102043657,171.687972528493,-13.7358704848361
99,7642,7451,191,32.0550837512431,32.0550575921353,2.61591078469792e-05,0.00307554973219913,0.00317996305861575,-0.000104413326416621,-109.356293872677,-109.356493856261,0.000199983583598851,0.0221869154572055,0.0222428165110756,-5.59010538700999e-05,49.5519510623072,46.0258278070058,3.52612325530148,100.653231364474,81.5243599637444,19.1288714007294,174.939152054436,174.560327472822,0.378824581613571,105.62121697072,105.848106717494,-0.226889746773594,3.43151007589636,3.2549890417042,0.176521034192162,6.24953292193955,5.72778840590702,0.521744516032522,1890.11706419992,1913.99114212857,-23.8740779286504,177.53593023629,194.147690760324,-16.6117605240344
100,7968,7763,205,32.0516862945532,32.0516469039031,3.93906500804064e-05,0.00478375918249602,0.00482524296133977,-4.14837788437535e-05,-109.3641913312,-109.364293293443,0.000101962243448384,0.0215029788419667,0.0215094232478579,-6.44440589121428e-06,63.6259482604849,60.1403674051269,3.48558085535806,114.405306542997,96.5172304798835,17.8880760631133,175.097138554217,174.986345484993,0.110793069223945,106.017094386194,106.005499894156,0.0115944920371334,4.47398343373494,4.26936690619666,0.204616527538283,7.2848680818859,6.66960590584977,0.615262176036128,1781.05385379733,1800.65760659539,-19.6037527980566,159.78285468517,173.931332619155,-14.1484779339852
102,7064,6967,97,32.0548096414213,32.0547693552462,4.02861751354067e-05,0.00365980784628303,0.00378438968446924,-0.000124581838186207,-109.362518232871,-109.362716981341,0.000198748469713905,0.018323980312688,0.0183194786343559,4.50167833207504e-06,60.2232367163767,54.5488968863212,5.67433983005547,116.597501460349,90.6467684144524,25.950733045897,173.329558323896,173.112243433329,0.217314890567252,105.838752537784,105.933561040938,-0.0948085031535726,3.78472536806342,3.59076860436911,0.193956763694312,6.07845122428632,5.58704688880228,0.491404335484032,1793.52996888399,1818.69944021817,-25.1694713341849,139.393938230851,146.850189887023,-7.45625165617221
